Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,9.25,9.44,9.08,9.35,9.35,12195
2016-12-16,9.35,9.87,9.19,9.75,9.75,22229
2016-12-17,9.75,9.85,9.44,9.52,9.52,12811
2016-12-18,9.52,9.88,9.5,9.84,9.84,26633
2016-12-19,9.84,10.47,9.8,10.14,10.14,43361
2016-12-20,10.14,10.55,10.09,10.17,10.17,53132
2016-12-21,10.17,10.22,9.67,9.84,9.84,32063
2016-12-22,9.84,9.85,9.11,9.7,9.7,34261
2016-12-23,9.7,9.76,9.1,9.31,9.31,41817
2016-12-24,9.31,9.98,9.31,9.68,9.68,37570
2016-12-25,9.68,9.95,9.56,9.85,9.85,26170
2016-12-26,9.85,10.04,9.68,9.71,9.71,17691
2016-12-27,9.71,9.92,9.43,9.53,9.53,34881
2016-12-28,9.53,10.17,9.48,9.86,9.86,45352
2016-12-29,9.86,10.97,9.66,10.56,10.56,53030
2016-12-30,10.56,11.32,10.42,10.92,10.92,61099
2016-12-31,10.92,11.24,10.47,11.13,11.13,20801
2017-01-01,11.13,11.33,10.76,11.06,11.06,30755
2017-01-02,11.06,11.74,10.99,11.62,11.62,38156
2017-01-03,11.62,12.73,11.52,12.22,12.22,60370
2017-01-04,12.22,23.91,12.06,15.49,15.49,341735
2017-01-05,15.49,15.99,12.35,13.63,13.63,155704
2017-01-06,13.63,14.4,10.5,11.21,11.21,124433
2017-01-07,11.21,12.95,10.43,11.72,11.72,74534
2017-01-08,11.72,12.8,11.79,12.31,12.31,43946
2017-01-09,12.31,12.5,11.92,12.12,12.12,28824
2017-01-10,12.12,12.44,11.93,12.16,12.16,29131
2017-01-11,12.16,12.5,10.67,11.14,11.14,69773
2017-01-12,11.14,12.34,10.79,12.17,12.17,54399
2017-01-13,12.17,12.48,11.62,12.35,12.35,34219
2017-01-14,12.35,12.4,12.07,12.25,12.25,24896
2017-01-15,12.25,12.39,12.22,12.26,12.26,19628
2017-01-16,12.26,12.9,12.17,12.8,12.8,26963
2017-01-17,12.8,14.15,12.63,14.04,14.04,66995
2017-01-18,14.04,14.08,13.49,13.79,13.79,69734
2017-01-19,13.79,15.07,13.73,15.01,15.01,82157
2017-01-20,15.01,15.4,14.66,14.9,14.9,95138
2017-01-21,14.9,15.29,14.62,14.79,14.79,33682
2017-01-22,14.79,15.3,14.76,14.98,14.98,47709
2017-01-23,14.98,15.1,14.83,15.03,15.03,27460
2017-01-24,15.03,15.09,13.3,14.03,14.03,135909
2017-01-25,14.03,14.5,13.72,14.26,14.26,41745
2017-01-26,14.26,14.75,14.24,14.75,14.75,28962
2017-01-27,14.75,15.3,14.73,15.13,15.13,50023
2017-01-28,15.13,15.19,14.88,15.09,15.09,41645
2017-01-29,15.09,15.33,14.93,15.27,15.27,34201
2017-01-30,15.27,16.02,15.19,15.79,15.79,69168
2017-01-31,15.79,16.129998999999998,15.67,15.94,15.94,52398
2017-02-01,15.94,16.01,15.45,15.69,15.69,44842
2017-02-02,15.69,16.01,15.52,16.01,16.01,38290
2017-02-03,16.01,17.200001,15.93,16.9,16.9,81203
2017-02-04,16.9,17.17,16.709999,16.879998999999998,16.879998999999998,33545
