Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,8.23,8.28,7.67,7.76,7.76,1657356
2016-12-16,7.76,7.94,7.75,7.85,7.85,545242
2016-12-17,7.85,7.87,7.47,7.66,7.66,931231
2016-12-18,7.66,7.94,7.66,7.89,7.89,596318
2016-12-19,7.89,7.92,7.57,7.61,7.61,561539
2016-12-20,7.61,7.76,7.54,7.59,7.59,535548
2016-12-21,7.59,7.96,7.57,7.87,7.87,871421
2016-12-22,7.87,7.92,7.48,7.64,7.64,1484702
2016-12-23,7.64,7.64,7.05,7.16,7.16,1661753
2016-12-24,7.16,7.44,7.02,7.23,7.23,536182
2016-12-25,7.23,7.31,7.1,7.19,7.19,417117
2016-12-26,7.19,7.3,6.98,7.21,7.21,544580
2016-12-27,7.21,7.34,7.03,7.15,7.15,652961
2016-12-28,7.15,7.72,7.03,7.57,7.57,1766689
2016-12-29,7.57,8.51,7.49,8.21,8.21,3493858
2016-12-30,8.21,8.48,7.99,8.16,8.16,1329431
2016-12-31,8.16,8.23,7.92,8.05,8.05,1105687
2017-01-01,8.05,8.54,8.02,8.14,8.14,1347147
2017-01-02,8.14,8.47,8.03,8.33,8.33,1292250
2017-01-03,8.33,9.94,8.18,9.59,9.59,5292231
2017-01-04,9.59,10.89,9.31,10.88,10.88,7005140
2017-01-05,10.88,11.63,9.07,10.2,10.2,9120265
2017-01-06,10.2,10.42,9.44,10.07,10.07,3477359
2017-01-07,10.07,10.12,9.47,9.78,9.78,1942619
2017-01-08,9.78,10.39,9.67,10.27,10.27,1933043
2017-01-09,10.27,10.75,10.03,10.2,10.2,2324307
2017-01-10,10.2,10.68,10.23,10.55,10.55,1592370
2017-01-11,10.55,10.72,9.49,9.83,9.83,3510206
2017-01-12,9.83,10.23,9.14,9.81,9.81,2340175
2017-01-13,9.81,9.9,9.47,9.78,9.78,1201195
2017-01-14,9.78,9.91,9.63,9.78,9.78,610220
2017-01-15,9.78,9.99,9.73,9.88,9.88,466935
2017-01-16,9.88,10.12,9.55,9.59,9.59,857365
2017-01-17,9.59,10.53,9.56,10.14,10.14,2847715
2017-01-18,10.14,10.46,9.91,10.19,10.19,1986053
2017-01-19,10.19,10.52,10.17,10.43,10.43,1181087
2017-01-20,10.43,10.75,10.31,10.6,10.6,1630007
2017-01-21,10.6,11.0,10.54,10.91,10.91,1663670
2017-01-22,10.91,11.01,10.6,10.71,10.71,1443235
2017-01-23,10.71,10.96,10.63,10.78,10.78,1035512
2017-01-24,10.78,10.87,10.49,10.51,10.51,1330265
2017-01-25,10.51,10.65,10.4,10.51,10.51,864774
2017-01-26,10.51,10.67,10.48,10.65,10.65,940417
2017-01-27,10.65,10.67,10.41,10.51,10.51,1060899
2017-01-28,10.51,10.57,10.44,10.54,10.54,764915
2017-01-29,10.54,10.56,10.44,10.47,10.47,412832
2017-01-30,10.47,10.77,10.42,10.62,10.62,1369992
2017-01-31,10.62,10.8,10.53,10.71,10.71,2020510
2017-02-01,10.71,10.87,10.53,10.71,10.71,2367496
2017-02-02,10.71,10.92,10.57,10.78,10.78,2738130
2017-02-03,10.78,10.95,10.55,10.95,10.95,2590189
2017-02-04,10.95,11.4,10.88,11.32,11.32,2507121
2017-02-05,11.32,11.39,11.1,11.22,11.22,904300
2017-02-06,11.22,11.39,11.18,11.32,11.32,970692
2017-02-07,11.32,11.55,11.26,11.45,11.45,1481700
2017-02-08,11.45,11.6,11.11,11.39,11.39,1842031
2017-02-09,11.39,11.49,10.53,10.94,10.94,3312153
2017-02-10,10.94,11.44,10.81,11.34,11.34,1955534
2017-02-11,11.34,11.45,11.28,11.43,11.43,1131595
2017-02-12,11.43,11.49,11.34,11.42,11.42,679904
2017-02-13,11.42,11.49,11.19,11.39,11.39,1044736
2017-02-14,11.39,14.05,11.32,13.0,13.0,8633943
2017-02-15,13.0,13.68,12.63,12.97,12.97,3998609
2017-02-16,12.97,13.06,12.64,12.95,12.95,26181931
2017-02-17,12.95,12.94,12.68,12.72,12.72,2015038
2017-02-18,12.72,12.89,12.71,12.83,12.83,1270318
2017-02-19,12.83,12.92,12.74,12.82,12.82,1028415
2017-02-20,12.82,12.9,12.48,12.52,12.52,1980817
2017-02-21,12.52,12.84,12.25,12.77,12.77,2738193
2017-02-22,12.77,12.9,12.62,12.69,12.69,1724079
2017-02-23,12.69,13.3,12.64,13.13,13.13,2869257
2017-02-24,13.13,13.29,12.72,13.11,13.11,3472766
2017-02-25,13.11,13.78,12.97,13.57,13.57,3554709
2017-02-26,13.57,14.65,13.37,14.59,14.59,4621619
2017-02-27,14.59,16.09,14.3,15.55,15.55,8252909
2017-02-28,15.55,16.75,15.19,16.07,16.07,19857331
2017-03-01,16.07,17.65,15.68,17.549999,17.549999,13731714
2017-03-02,17.549999,19.639999,16.58,19.08,19.08,19994584
2017-03-03,19.08,21.059998999999998,17.809998999999998,19.48,19.48,24152328
2017-03-04,19.48,20.190001000000002,18.559998999999998,18.610001,18.610001,7413157
2017-03-05,18.610001,19.4,18.1,19.219998999999998,19.219998999999998,5782306
2017-03-06,19.219998999999998,20.299999,19.0,19.75,19.75,10247940
2017-03-07,19.75,19.809998999999998,18.52,18.91,18.91,11143090
2017-03-08,18.91,18.93,16.51,16.540001,16.540001,13176714
2017-03-09,16.540001,18.129998999999998,15.94,17.709999,17.709999,9124768
2017-03-10,17.709999,19.68,16.57,19.129998999999998,19.129998999999998,25211751
2017-03-11,19.129998999999998,21.639999,18.719998999999998,21.450001,21.450001,16305702
2017-03-12,21.450001,23.809998999999998,21.200001,23.309998999999998,23.309998999999998,18139890
2017-03-13,23.309998999999998,31.040001,23.299999,28.450001,28.450001,62404918
2017-03-14,28.450001,29.879998999999998,26.91,28.58,28.58,20686242
2017-03-15,28.58,35.32,28.309998999999998,35.18,35.18,41558801
2017-03-16,35.18,46.549999,34.759997999999996,45.509997999999996,45.509997999999996,110340100
2017-03-17,45.509997999999996,54.880001,34.549999,44.48,44.48,126403905
2017-03-18,44.48,45.240002000000004,30.629998999999998,34.0,34.0,78375178
2017-03-19,34.0,45.549999,33.400002,43.119999,43.119999,66179861
2017-03-20,43.119999,45.509997999999996,40.93,42.509997999999996,42.509997999999996,36051939
2017-03-21,42.509997999999996,43.799999,41.68,42.669998,42.669998,20719388
2017-03-22,42.669998,42.939999,38.560001,41.650002,41.650002,24709533
2017-03-23,41.650002,44.259997999999996,40.59,43.200001,43.200001,23891682
2017-03-24,43.200001,53.740002000000004,42.77,53.189999,53.189999,73808171
2017-03-25,53.189999,53.59,47.619999,50.619999,50.619999,54975694
2017-03-26,50.619999,51.68,48.450001,50.630001,50.630001,23147171
2017-03-26,50.630001,51.720001,48.330002,49.060001,49.060001,24298571
2017-03-27,49.060001,50.549999,48.5,50.25,50.25,22561201
2017-03-28,50.25,53.970001,50.080002,53.07,53.07,38472526
2017-03-29,53.07,53.630001,51.360001000000004,51.91,51.91,21489377
2017-03-30,51.91,52.220001,46.830002,49.91,49.91,37271970
2017-03-31,49.91,51.77,48.650002,50.599998,50.599998,16332366
2017-04-01,50.599998,51.150002,47.580002,48.549999,48.549999,29315614
2017-04-02,48.549999,48.759997999999996,42.490002000000004,44.130001,44.130001,44841678
2017-04-03,44.130001,45.970001,41.279999,44.43,44.43,30705300
2017-04-04,44.43,47.490002000000004,44.119999,44.900002,44.900002,21702217
2017-04-05,44.900002,45.869999,40.990002000000004,43.23,43.23,23956305
2017-04-06,43.23,44.580002,41.580002,42.310001,42.310001,12658079
2017-04-07,42.310001,45.77,42.169998,44.369999,44.369999,12638180
2017-04-08,44.369999,44.73,42.790001000000004,43.720001,43.720001,7984771
2017-04-09,43.720001,44.57,42.490002000000004,43.740002000000004,43.740002000000004,9252478
2017-04-10,43.740002000000004,44.43,43.470001,43.740002000000004,43.740002000000004,6477981
2017-04-11,43.740002000000004,47.889998999999996,43.259997999999996,46.380001,46.380001,22030599
2017-04-12,46.380001,51.040001000000004,46.139998999999996,49.970001,49.970001,28170249
2017-04-13,49.970001,50.099998,46.529999,47.32,47.32,15807873
2017-04-14,47.32,62.029999,46.889998999999996,48.889998999999996,48.889998999999996,10687561
2017-04-15,48.889998999999996,49.23,47.540001000000004,48.220001,48.220001,4563693
2017-04-16,48.220001,48.529999,47.57,47.939999,47.939999,8322156
2017-04-17,47.939999,50.25,47.75,49.880001,49.880001,22065841
2017-04-18,49.880001,50.5,46.860001000000004,47.880001,47.880001,19057555
2017-04-19,47.880001,49.560001,47.509997999999996,49.360001000000004,49.360001000000004,15519870
2017-04-20,49.360001000000004,49.459998999999996,48.09,48.27,48.27,9824903
2017-04-21,48.27,48.939999,47.98,48.41,48.41,7451077
2017-04-22,48.41,48.919998,47.91,48.75,48.75,8709584
2017-04-23,48.75,50.41,48.720001,49.939999,49.939999,12211894
2017-04-24,49.939999,50.610001000000004,49.790001000000004,50.09,50.09,8566119
2017-04-25,50.09,54.610001000000004,50.009997999999996,53.279999,53.279999,28727738
2017-04-26,53.279999,63.419998,52.43,63.139998999999996,63.139998999999996,45226868
2017-04-27,63.139998999999996,73.849998,62.080002,72.41999799999999,72.41999799999999,71238627
2017-04-28,72.41999799999999,74.029999,67.620003,69.83000200000001,69.83000200000001,38785700
2017-04-29,69.83000200000001,81.260002,69.279999,79.83000200000001,79.83000200000001,45723362
2017-04-30,79.83000200000001,83.870003,71.459999,77.529999,77.529999,99260395
2017-05-01,77.529999,81.239998,74.639999,77.25,77.25,43090049
2017-05-02,77.25,80.959999,75.400002,80.370003,80.370003,38833085
2017-05-03,80.370003,95.309998,79.339996,94.550003,94.550003,84572615
2017-05-04,94.550003,97.660004,87.110001,90.790001,90.790001,72828175
2017-05-05,90.790001,95.599998,90.559998,94.82,94.82,30584898
2017-05-06,94.82,96.370003,62.740002000000004,90.459999,90.459999,45495746
2017-05-07,90.459999,93.449997,80.93,88.389999,88.389999,50131802
2017-05-08,88.389999,89.58000200000001,75.07,86.269997,86.269997,63784971
2017-05-09,86.269997,91.32,84.989998,87.83000200000001,87.83000200000001,28478144
2017-05-10,87.83000200000001,90.550003,85.769997,88.199997,88.199997,32402025
2017-05-11,88.199997,90.57,83.150002,85.150002,85.150002,37700850
2017-05-12,85.150002,88.589996,81.809998,87.959999,87.959999,18579547
2017-05-13,87.959999,89.699997,86.33000200000001,88.720001,88.720001,14701160
2017-05-14,88.720001,94.300003,86.75,90.32,90.32,50259306
2017-05-15,90.32,92.18,85.68,87.800003,87.800003,38782037
2017-05-16,87.800003,89.400002,81.989998,86.980003,86.980003,39565758
