Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,0.553,0.589,0.538,0.587,0.587,89085
2017-06-13,0.587,0.6101,0.4795,0.5202,0.5202,4352877
2017-06-14,0.5202,0.5447,0.2912,0.3467,0.3467,2693369
2017-06-15,0.3467,0.599,0.3053,0.4082,0.4082,1857604
2017-06-16,0.4082,0.4512,0.4,0.428,0.428,622794
2017-06-17,0.428,0.4502,0.385,0.4056,0.4056,722974
2017-06-18,0.4056,0.435,0.395,0.4254,0.4254,788130
2017-06-19,0.4254,0.4472,0.411,0.4405,0.4405,1391167
2017-06-20,0.4405,0.4624,0.415,0.425,0.425,1528500
2017-06-21,0.425,0.4499,0.4114,0.4373,0.4373,469896
2017-06-22,0.4373,0.4828,0.433,0.4828,0.4828,928850
2017-06-23,0.4828,0.6289,0.4767,0.5053,0.5053,4742047
2017-06-24,0.5053,0.5214,0.4401,0.4653,0.4653,1707780
2017-06-25,0.4653,0.4659,0.3401,0.408,0.408,2770249
2017-06-26,0.408,0.42,0.3483,0.394,0.394,1203467
2017-06-27,0.394,0.4,0.3511,0.373,0.373,1255278
2017-06-28,0.373,0.4599,0.3619,0.411,0.411,1584518
2017-06-29,0.411,0.449,0.393,0.398,0.398,1065339
2017-06-30,0.398,0.4129,0.3701,0.3811,0.3811,654289
2017-07-01,0.3811,0.39,0.36,0.3769,0.3769,844444
2017-07-02,0.3769,0.385,0.35,0.376,0.376,1359977
2017-07-03,0.376,0.4098,0.3702,0.3938,0.3938,1126011
2017-07-04,0.3938,0.3987,0.3681,0.381,0.381,883114
2017-07-05,0.381,0.3851,0.3033,0.3529,0.3529,3901437
2017-07-06,0.3529,0.3565,0.27,0.2822,0.2822,3613254
2017-07-07,0.2822,0.3202,0.2751,0.3003,0.3003,1526339
2017-07-08,0.3003,0.3125,0.2829,0.3,0.3,891132
2017-07-09,0.3,0.3041,0.1837,0.21,0.21,5296590
2017-07-10,0.21,0.2342,0.1837,0.1869,0.1869,3061285
2017-07-11,0.1869,0.2395,0.1806,0.2288,0.2288,2354393
2017-07-12,0.2288,0.239,0.1875,0.2129,0.2129,1739467
2017-07-13,0.2129,0.2131,0.1602,0.1751,0.1751,1387934
2017-07-14,0.1751,0.1763,0.1427,0.1582,0.1582,2300878
2017-07-15,0.1582,0.188,0.155,0.178,0.178,1876063
2017-07-16,0.178,0.28,0.1767,0.264,0.264,7509664
2017-07-17,0.264,0.3123,0.246,0.268,0.268,6657222
2017-07-18,0.268,0.2849,0.23,0.2314,0.2314,3743900
2017-07-19,0.2314,0.3043,0.2302,0.2937,0.2937,5318148
2017-07-20,0.2937,0.3078,0.2452,0.2595,0.2595,3641056
2017-07-21,0.2595,0.2785,0.2536,0.2716,0.2716,1940216
2017-07-22,0.2716,0.28,0.2551,0.2649,0.2649,1593743
2017-07-23,0.2649,0.273,0.2361,0.2674,0.2674,2223748
2017-07-24,0.2674,0.2688,0.2365,0.25,0.25,1449237
2017-07-25,0.25,0.2845,0.2409,0.2744,0.2744,2070284
2017-07-26,0.2744,0.285,0.2711,0.273,0.273,1653067
2017-07-27,0.273,0.2765,0.262,0.2651,0.2651,801625
2017-07-28,0.2651,0.278,0.243,0.2767,0.2767,1129721
2017-07-29,0.2767,0.278,0.2502,0.2547,0.2547,1506166
2017-07-30,0.2547,0.26,0.244,0.254,0.254,774020
2017-07-31,0.254,0.294,0.2493,0.291,0.291,2349162
2017-08-01,0.291,0.2939,0.2715,0.286,0.286,1649745
2017-08-02,0.286,0.3392,0.285,0.3319,0.3319,4842192
2017-08-03,0.3319,0.4217,0.3315,0.3937,0.3937,10871829
2017-08-04,0.3937,0.4316,0.3601,0.408,0.408,5389189
2017-08-05,0.408,0.44,0.395,0.4299,0.4299,2911311
2017-08-06,0.4299,0.49,0.411,0.474,0.474,7356892
2017-08-07,0.474,0.5517,0.4555,0.5481,0.5481,12202146
2017-08-08,0.5481,0.557,0.5091,0.53,0.53,7137062
2017-08-09,0.53,0.5892,0.5069,0.5624,0.5624,9266383
2017-08-10,0.5624,0.7177,0.5561,0.6547,0.6547,21553380
2017-08-11,0.6547,0.73,0.6128,0.72,0.72,9837488
2017-08-12,0.72,0.83,0.69,0.8043,0.8043,21581927
2017-08-13,0.8043,0.9797,0.7914,0.972,0.972,26449307
2017-08-14,0.972,0.995,0.75,0.917,0.917,52452063
2017-08-15,0.917,1.05,0.8633,1.04,1.04,27930190
2017-08-16,1.04,1.1,0.99,1.01,1.01,33921131
2017-08-17,1.01,1.04,0.7611,0.867,0.867,39474941
2017-08-18,0.867,0.9859,0.77,0.9791,0.9791,22746400
2017-08-19,0.9791,1.03,0.91,0.9101,0.9101,18151967
2017-08-20,0.9101,0.9408,0.84,0.9001,0.9001,17235787
2017-08-21,0.9001,0.9046,0.7778,0.838,0.838,15961001
2017-08-22,0.838,0.9408,0.8303,0.851,0.851,15372233
2017-08-23,0.851,0.8949,0.7959,0.89,0.89,8478289
2017-08-24,0.891,0.9349,0.835,0.9164,0.9164,11436765
2017-08-25,0.9164,0.9749,0.875,0.96,0.96,9399472
2017-08-26,0.96,0.9801,0.88,0.9193,0.9193,8671763
2017-08-27,0.9194,0.929,0.78,0.8744,0.8744,11772010
2017-08-28,0.8744,0.875,0.7053,0.8125,0.8125,15007894
2017-08-29,0.8125,0.8765,0.7838,0.8675,0.8675,9937742
2017-08-30,0.8675,0.9,0.82,0.8415,0.8415,9170131
2017-08-31,0.8415,0.88,0.771,0.7927,0.7927,16395351
2017-09-01,0.7927,0.7999,0.64,0.6921,0.6921,24754845
2017-09-02,0.6921,0.777,0.666,0.7417,0.7417,19943217
2017-09-03,0.7417,0.7442,0.3633,0.5484,0.5484,54618042
2017-09-04,0.5484,0.6499,0.455,0.6132,0.6132,28222355
2017-09-05,0.6132,0.7488,0.592,0.7394,0.7394,19935928
2017-09-06,0.7394,0.74,0.6141,0.6479,0.6479,20523394
2017-09-07,0.6479,0.66,0.4786,0.5373,0.5373,33374603
2017-09-08,0.5373,0.584,0.5183,0.5594,0.5594,10289183
2017-09-09,0.5594,0.569,0.4588,0.4989,0.4989,24813146
2017-09-10,0.4989,0.569,0.479,0.5628,0.5628,13731837
2017-09-11,0.5628,0.6495,0.5408,0.5918,0.5918,34890237
2017-09-12,0.5918,0.5979,0.4714,0.5613,0.5613,22654031
2017-09-13,0.5613,0.576,0.441,0.4494,0.4494,23728451
2017-09-14,0.4494,0.5127,0.37,0.4797,0.4797,32174255
2017-09-15,0.4797,0.5128,0.452,0.4848,0.4848,10781627
2017-09-16,0.4848,0.5048,0.461,0.4958,0.4958,5356020
2017-09-17,0.4958,0.6171,0.4934,0.6075,0.6075,22068230
2017-09-18,0.6075,0.6145,0.5521,0.5585,0.5585,10565680
2017-09-19,0.5585,0.5911,0.541,0.5674,0.5674,6653281
2017-09-20,0.5674,0.5728,0.4653,0.4985,0.4985,13514129
2017-09-21,0.4985,0.5178,0.471,0.505,0.505,6901949
2017-09-22,0.505,0.555,0.4935,0.54,0.54,6092149
2017-09-23,0.54,0.5424,0.5042,0.5213,0.5213,6041901
2017-09-24,0.5213,0.569,0.5208,0.556,0.556,7539856
2017-09-25,0.556,0.56,0.5051,0.5146,0.5146,7950222
2017-09-26,0.5146,0.5544,0.505,0.5509,0.5509,8650909
2017-09-27,0.5509,0.6147,0.5261,0.5951,0.5951,15437603
2017-09-28,0.5951,0.6103,0.541,0.5836,0.5836,12467881
2017-09-29,0.5836,0.6493,0.576,0.6223,0.6223,15969866
2017-09-30,0.6223,0.6318,0.591,0.6124,0.6124,5925652
2017-10-01,0.6124,0.6225,0.5638,0.578,0.578,9092544
2017-10-02,0.578,0.582,0.512,0.5606,0.5606,8630146
2017-10-03,0.5606,0.5697,0.515,0.5447,0.5447,5304712
2017-10-04,0.5447,0.5681,0.5161,0.5424,0.5424,4345544
2017-10-05,0.5424,0.5632,0.4874,0.504,0.504,6831300
2017-10-06,0.504,0.551,0.486,0.5369,0.5369,5280957
2017-10-07,0.5369,0.54,0.493,0.5,0.5,5400311
2017-10-08,0.5,0.505,0.433,0.469,0.469,10532685
2017-10-09,0.469,0.4896,0.451,0.476,0.476,3382461
2017-10-10,0.476,0.4889,0.462,0.4816,0.4816,3021065
2017-10-11,0.4816,0.4867,0.38,0.414,0.414,8673915
2017-10-12,0.414,0.4476,0.4,0.44,0.44,6416802
2017-10-13,0.44,0.4845,0.4293,0.4591,0.4591,6667635
2017-10-14,0.4591,0.461,0.41,0.4383,0.4383,4354699
2017-10-15,0.437,0.4597,0.42,0.4489,0.4489,3408883
2017-10-16,0.4489,0.507,0.4311,0.468,0.468,5656421
2017-10-17,0.4686,0.479,0.425,0.453,0.453,5135366
2017-10-18,0.4543,0.4677,0.41,0.4326,0.4326,4894935
2017-10-19,0.4327,0.4345,0.3857,0.3995,0.3995,8105050
2017-10-20,0.3999,0.4065,0.3193,0.3882,0.3882,9892547
2017-10-21,0.3882,0.408,0.3761,0.3823,0.3823,4764777
2017-10-22,0.3822,0.394,0.34,0.388,0.388,6131515
2017-10-23,0.388,0.5059,0.3701,0.45,0.45,29222238
2017-10-24,0.455,0.4769,0.4271,0.443,0.443,7419496
2017-10-25,0.4434,0.457,0.4115,0.4168,0.4168,5181760
2017-10-26,0.4155,0.44,0.39,0.4231,0.4231,4981146
2017-10-27,0.4249,0.4309,0.391,0.3952,0.3952,3727359
2017-10-28,0.3961,0.415,0.367,0.4024,0.4024,7988562
2017-10-30,0.4032,0.415,0.3851,0.408,0.408,4209394
2017-10-31,0.4073,0.4087,0.3891,0.3918,0.3918,3872511
2017-11-01,0.3912,0.3923,0.3517,0.3644,0.3644,5509264
2017-11-02,0.3637,0.3847,0.32,0.3661,0.3661,10324161
2017-11-03,0.3642,0.3967,0.3588,0.3927,0.3927,6072020
2017-11-04,0.3937,0.3937,0.3649,0.3685,0.3685,3646845
2017-11-05,0.3695,0.371,0.335,0.3506,0.3506,5525771
2017-11-06,0.3506,0.3795,0.3387,0.3729,0.3729,5451385
2017-11-07,0.374,0.398,0.3621,0.3824,0.3824,7791821
2017-11-08,0.3824,0.4905,0.38,0.473,0.473,25446432
2017-11-09,0.4746,0.5999,0.464,0.5335,0.5335,50128964
2017-11-10,0.5338,0.564,0.455,0.503,0.503,33670596
2017-11-11,0.5011,0.6249,0.4939,0.6199,0.6199,17511551
2017-11-12,0.6237,0.635,0.505,0.5885,0.5885,20183170
2017-11-13,0.5861,0.6394,0.5673,0.5861,0.5861,18251885
2017-11-14,0.5835,0.6189,0.525,0.6059,0.6059,16593511
2017-11-15,0.6059,0.7873,0.6,0.787,0.787,33027096
2017-11-16,0.787,0.8967,0.706,0.825,0.825,48084616
2017-11-17,0.825,0.8777,0.7263,0.791,0.791,41712614
2017-11-18,0.7912,0.849,0.7499,0.819,0.819,23561110
2017-11-19,0.8163,0.884,0.8047,0.8528,0.8528,22691168
2017-11-20,0.851,0.984,0.85,0.9531,0.9531,30558575
2017-11-21,0.9584,0.982,0.7463,0.8846,0.8846,39379797
2017-11-22,0.8844,0.9551,0.8524,0.9009,0.9009,26686976
2017-11-23,0.9009,0.915,0.779,0.7791,0.7791,27029628
2017-11-24,0.7791,0.7942,0.668,0.7835,0.7835,33935405
2017-11-25,0.7837,0.856,0.7051,0.8055,0.8055,23880679
2017-11-26,0.8055,0.8055,0.8055,0.8055,0.8055,0
2017-11-27,0.8055,1.1,0.7882,1.04,1.04,44909311
2017-11-28,1.04,1.47,1.02,1.45,1.45,64625717
2017-11-29,1.45,1.54,1.07,1.24,1.24,63751202
2017-11-30,1.24,1.38,1.08,1.31,1.31,52871372
2017-12-01,1.31,1.5,1.22,1.44,1.44,39031245
2017-12-02,1.44,1.45,1.33,1.44,1.44,38912891
2017-12-03,1.45,1.98,1.42,1.84,1.84,59893496
2017-12-04,1.84,2.89,1.83,2.63,2.63,103291345
2017-12-05,2.63,3.97,2.1,3.82,3.82,260234070
2017-12-06,3.74,5.58,3.51,4.45,4.45,421344163
2017-12-07,4.35,4.58,3.03,4.04,4.04,320704992
2017-12-08,4.04,4.95,3.43,4.93,4.93,265688180
2017-12-09,4.95,5.2,4.01,4.52,4.52,257716406
2017-12-10,4.53,4.53,3.58,3.98,3.98,282707340
2017-12-11,4.04,4.55,4.0,4.22,4.22,147499517
2017-12-12,4.22,5.03,4.13,4.73,4.73,187219571
2017-12-13,4.73,4.78,3.63,4.05,4.05,198218439
2017-12-14,4.05,4.33,3.25,3.67,3.67,234297788
2017-12-15,3.67,3.78,3.32,3.34,3.34,26143336
