Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,3.61,3.66,3.57,3.63,3.63,150793
2016-12-16,3.63,3.66,3.56,3.62,3.62,120004
2016-12-17,3.62,3.68,3.58,3.67,3.67,218200
2016-12-18,3.67,3.7,3.64,3.66,3.66,116105
2016-12-19,3.66,3.71,3.61,3.64,3.64,110688
2016-12-20,3.64,3.65,3.61,3.64,3.64,127716
2016-12-21,3.64,3.79,3.61,3.63,3.63,353241
2016-12-22,3.63,3.75,3.58,3.67,3.67,388063
2016-12-23,3.67,4.45,3.63,4.41,4.41,1864968
2016-12-24,4.41,4.68,4.25,4.38,4.38,1325476
2016-12-25,4.38,4.43,4.03,4.22,4.22,824522
2016-12-26,4.22,4.33,4.08,4.2,4.2,481223
2016-12-27,4.2,4.44,4.16,4.3,4.3,601397
2016-12-28,4.3,4.54,4.28,4.42,4.42,922988
2016-12-29,4.42,4.54,4.33,4.47,4.47,795682
2016-12-30,4.47,4.5,4.14,4.35,4.35,1711452
2016-12-31,4.35,4.42,4.22,4.32,4.32,532524
2017-01-01,4.32,4.5,4.26,4.42,4.42,621447
2017-01-02,4.42,4.69,4.37,4.54,4.54,1197397
2017-01-03,4.54,4.63,4.42,4.51,4.51,494437
2017-01-04,4.51,4.73,4.36,4.42,4.42,1866468
2017-01-05,4.42,4.63,3.95,4.16,4.16,2312058
2017-01-06,4.16,4.29,3.61,3.76,3.76,1628401
2017-01-07,3.76,3.93,3.48,3.82,3.82,790065
2017-01-08,3.82,3.96,3.8,3.91,3.91,496653
2017-01-09,3.91,4.32,3.78,4.25,4.25,867517
2017-01-10,4.25,4.58,4.15,4.47,4.47,1178608
2017-01-11,4.47,4.57,3.69,3.84,3.84,2266585
2017-01-12,3.84,4.05,3.68,3.94,3.94,910975
2017-01-13,3.94,4.02,3.76,3.86,3.86,562336
2017-01-14,3.86,4.0,3.8,3.89,3.89,348900
2017-01-15,3.89,3.9,3.79,3.85,3.85,210515
2017-01-16,3.85,3.88,3.79,3.82,3.82,271061
2017-01-17,3.82,3.94,3.79,3.89,3.89,692992
2017-01-18,3.89,3.92,3.7,3.8,3.8,576939
2017-01-19,3.8,3.91,3.75,3.82,3.82,485428
2017-01-20,3.82,3.92,3.78,3.84,3.84,460705
2017-01-21,3.84,3.9,3.84,3.85,3.85,201134
2017-01-22,3.85,3.88,3.77,3.81,3.81,282998
2017-01-23,3.81,3.84,3.77,3.82,3.82,233992
2017-01-24,3.82,3.83,3.74,3.75,3.75,249022
2017-01-25,3.75,3.78,3.64,3.66,3.66,307296
2017-01-26,3.66,3.85,3.63,3.81,3.81,419901
2017-01-27,3.81,3.86,3.74,3.85,3.85,222518
2017-01-28,3.85,3.86,3.79,3.84,3.84,179309
2017-01-29,3.84,3.86,3.8,3.82,3.82,116219
2017-01-30,3.82,4.06,3.82,3.99,3.99,951809
2017-01-31,3.99,4.15,3.96,4.02,4.02,1105686
2017-02-01,4.02,4.06,3.96,4.0,4.0,476370
2017-02-02,4.0,4.04,3.93,4.03,4.03,468931
2017-02-03,4.03,4.06,3.91,3.99,3.99,567884
2017-02-04,3.99,4.02,3.89,3.96,3.96,365624
2017-02-05,3.96,4.03,3.9,3.97,3.97,209078
2017-02-06,3.97,3.96,3.89,3.93,3.93,177895
2017-02-07,3.93,3.98,3.89,3.93,3.93,384195
2017-02-08,3.93,3.98,3.84,3.93,3.93,360107
2017-02-09,3.93,3.95,3.49,3.67,3.67,1671232
2017-02-10,3.67,3.79,3.56,3.76,3.76,610452
2017-02-11,3.76,3.83,3.75,3.81,3.81,140264
2017-02-12,3.81,3.79,3.71,3.73,3.73,157667
2017-02-13,3.73,3.76,3.67,3.74,3.74,217411
2017-02-14,3.74,3.8,3.69,3.8,3.8,264094
2017-02-15,3.8,3.84,3.75,3.81,3.81,328590
2017-02-16,3.81,3.89,3.79,3.84,3.84,292751
2017-02-17,3.84,3.88,3.75,3.83,3.83,282965
2017-02-18,3.83,3.86,3.75,3.78,3.78,203825
2017-02-19,3.78,3.79,3.72,3.75,3.75,283336
2017-02-20,3.75,3.79,3.69,3.73,3.73,510892
2017-02-21,3.73,3.81,3.72,3.78,3.78,587831
2017-02-22,3.78,3.84,3.45,3.8,3.8,689241
2017-02-23,3.8,3.9,3.78,3.8,3.8,426643
2017-02-24,3.8,3.91,3.72,3.87,3.87,671749
2017-02-25,3.87,3.91,3.81,3.85,3.85,317380
2017-02-26,3.85,3.87,3.78,3.82,3.82,243572
2017-02-27,3.82,3.87,3.79,3.83,3.83,511172
2017-02-28,3.83,3.87,3.76,3.77,3.77,278574
2017-03-01,3.77,3.87,3.75,3.8,3.8,421116
2017-03-02,3.8,4.35,3.78,3.96,3.96,2290554
2017-03-03,3.96,4.13,3.94,4.02,4.02,860578
2017-03-04,4.02,4.06,3.91,3.98,3.98,300507
2017-03-05,3.98,4.0,3.9,3.97,3.97,283504
2017-03-06,3.97,4.07,3.93,4.05,4.05,396126
2017-03-07,4.05,4.09,3.9,3.96,3.96,470587
2017-03-08,3.96,3.98,3.78,3.8,3.8,393467
2017-03-09,3.8,3.92,3.8,3.89,3.89,407486
2017-03-10,3.89,4.0,3.7,3.78,3.78,1319675
2017-03-11,3.78,3.89,3.73,3.8,3.8,468488
2017-03-12,3.8,3.91,3.78,3.87,3.87,468607
2017-03-13,3.87,5.23,3.82,4.36,4.36,3571611
2017-03-14,4.36,4.38,4.03,4.17,4.17,1615122
2017-03-15,4.17,4.37,4.02,4.26,4.26,1586269
2017-03-16,4.26,4.59,4.16,4.33,4.33,3217666
2017-03-17,4.33,4.42,4.07,4.2,4.2,2058054
2017-03-18,4.2,4.35,3.85,4.05,4.05,2694649
2017-03-19,4.05,4.17,3.92,3.98,3.98,1049375
2017-03-20,3.98,4.15,3.9,4.12,4.12,659202
2017-03-21,4.12,4.15,4.01,4.09,4.09,784264
2017-03-22,4.09,4.11,3.88,3.98,3.98,1320995
2017-03-23,3.98,4.1,3.94,4.02,4.02,505477
2017-03-24,4.02,4.37,3.98,4.18,4.18,2497555
2017-03-25,4.18,4.28,4.01,4.13,4.13,1412989
2017-03-26,4.13,4.19,4.04,4.1,4.1,605827
2017-03-26,4.1,4.2,4.06,4.1,4.1,818822
2017-03-27,4.1,4.33,4.08,4.2,4.2,630059
2017-03-28,4.2,4.41,4.14,4.32,4.32,1075702
2017-03-29,4.32,8.23,4.29,7.5,7.5,41126154
2017-03-30,7.5,7.81,5.89,7.1,7.1,21628256
2017-03-31,7.1,7.61,6.47,7.48,7.48,11297597
2017-04-01,7.48,8.56,7.04,8.22,8.22,21416364
2017-04-02,8.22,9.27,7.48,8.57,8.57,22252992
2017-04-03,8.57,9.48,8.19,8.97,8.97,21289275
2017-04-04,8.97,12.85,8.82,12.39,12.39,52482355
2017-04-05,12.39,12.62,9.83,10.7,10.7,49620286
2017-04-06,10.7,11.27,9.4,9.89,9.89,22285843
2017-04-07,9.89,11.22,9.78,10.66,10.66,12488907
2017-04-08,10.66,10.94,8.71,9.21,9.21,21616917
2017-04-09,9.21,10.12,8.84,9.8,9.8,13718090
2017-04-10,9.8,10.32,9.37,9.66,9.66,8935940
2017-04-11,9.66,12.16,9.62,11.6,11.6,35836545
2017-04-12,11.6,11.72,10.69,11.06,11.06,12232849
2017-04-13,11.06,11.91,10.99,11.67,11.67,11641589
2017-04-14,11.67,12.2,10.99,11.67,11.67,11482683
2017-04-15,11.67,11.86,11.51,11.73,11.73,3985606
2017-04-16,11.73,12.81,10.54,11.26,11.26,23954844
2017-04-17,11.26,11.59,10.48,11.06,11.06,19065508
2017-04-18,11.06,11.21,9.98,10.29,10.29,12092129
2017-04-19,10.29,11.45,10.1,10.97,10.97,13181862
2017-04-20,10.97,12.47,10.84,12.0,12.0,23765409
2017-04-21,12.0,14.51,11.83,14.05,14.05,41723989
2017-04-22,14.05,15.74,13.86,15.15,15.15,53805875
2017-04-23,15.15,15.31,14.13,14.87,14.87,21087846
2017-04-24,14.87,15.26,14.08,15.06,15.06,19065935
2017-04-25,15.06,15.86,14.48,14.89,14.89,26712135
2017-04-26,14.89,15.16,13.35,14.66,14.66,25883706
2017-04-27,14.66,14.83,13.81,14.25,14.25,12777385
2017-04-28,14.25,15.79,14.28,15.75,15.75,15133267
2017-04-29,15.75,16.09,15.29,15.63,15.63,15498677
2017-04-30,15.63,16.25,14.95,15.74,15.74,21067993
2017-05-01,15.74,15.88,14.94,15.57,15.57,10808154
2017-05-02,15.57,26.52,15.51,20.530001000000002,20.530001000000002,87432364
2017-05-03,20.530001000000002,26.68,20.35,22.950001,22.950001,101954652
2017-05-04,22.950001,27.16,22.41,25.200001,25.200001,81502296
