Date,BCH-USD,BTC-USD,Dash-USD,ETH-USD,IOT-USD,LTC-USD,XRP-USD
2016-12-15,,775.210022,9.35,7.76,,3.63,0.006634
2016-12-16,,782.049988,9.75,7.85,,3.62,0.006693999999999999
2016-12-17,,787.169983,9.52,7.66,,3.67,0.006490000000000001
2016-12-18,,789.01001,9.84,7.89,,3.66,0.0065
2016-12-19,,789.789978,10.14,7.61,,3.64,0.00645
2016-12-20,,799.099976,10.17,7.59,,3.64,0.0065379999999999995
2016-12-21,,829.210022,9.84,7.87,,3.63,0.006559000000000001
2016-12-22,,860.150024,9.7,7.64,,3.67,0.006376
2016-12-23,,917.169983,9.31,7.16,,4.41,0.006086
2016-12-24,,891.070007,9.68,7.23,,4.38,0.006437999999999999
2016-12-25,,891.070007,9.85,7.19,,4.22,0.0063100000000000005
2016-12-26,,898.3800050000001,9.71,7.21,,4.2,0.00625
2016-12-27,,925.7800289999999,9.53,7.15,,4.3,0.006135
2016-12-28,,972.169983,9.86,7.57,,4.42,0.006243
2016-12-29,,971.080017,10.56,8.21,,4.47,0.006474
2016-12-30,,959.0399779999999,10.92,8.16,,4.35,0.0064150000000000006
2016-12-31,,963.3800050000001,11.13,8.05,,4.32,0.006511
2017-01-01,,995.4400019999999,11.06,8.14,,4.42,0.006346
2017-01-02,,1017.0499880000001,11.62,8.33,,4.54,0.006312
2017-01-03,,1033.300049,12.22,9.59,,4.51,0.006411
2017-01-04,,1135.410034,15.49,10.88,,4.42,0.006409999999999999
2017-01-05,,989.349976,13.63,10.2,,4.16,0.0062759999999999995
2017-01-06,,886.159973,11.21,10.07,,3.76,0.006222
2017-01-07,,888.8699949999999,11.72,9.78,,3.82,0.006363000000000001
2017-01-08,,900.8599849999999,12.31,10.27,,3.91,0.006251
2017-01-09,,899.7800289999999,12.12,10.2,,4.25,0.006176
2017-01-10,,904.3699949999999,12.16,10.55,,4.47,0.006815000000000001
2017-01-11,,785.429993,11.14,9.83,,3.84,0.006543000000000001
2017-01-12,,810.1099849999999,12.17,9.81,,3.94,0.006359
2017-01-13,,824.830017,12.35,9.78,,3.86,0.006669
2017-01-14,,819.630005,12.25,9.78,,3.89,0.006795000000000001
2017-01-15,,821.169983,12.26,9.88,,3.85,0.006809999999999999
2017-01-16,,827.340027,12.8,9.59,,3.82,0.00678
2017-01-17,,899.659973,14.04,10.14,,3.89,0.00683
2017-01-18,,872.0300289999999,13.79,10.19,,3.8,0.0068
2017-01-19,,895.2100220000001,15.01,10.43,,3.82,0.006840000000000001
2017-01-20,,892.909973,14.9,10.6,,3.84,0.0066
2017-01-21,,919.840027,14.79,10.91,,3.85,0.006840000000000001
2017-01-22,,918.840027,14.98,10.71,,3.81,0.00678
2017-01-23,,921.4600220000001,15.03,10.78,,3.82,0.006690000000000001
2017-01-24,,893.75,14.03,10.51,,3.75,0.0065
2017-01-25,,894.409973,14.26,10.51,,3.66,0.006490000000000001
2017-01-26,,915.5599980000001,14.75,10.65,,3.81,0.0063
2017-01-27,,918.01001,15.13,10.51,,3.85,0.00636
2017-01-28,,918.51001,15.09,10.54,,3.84,0.00639
2017-01-29,,914.5499880000001,15.27,10.47,,3.82,0.0063100000000000005
2017-01-30,,920.7299800000001,15.79,10.62,,3.99,0.00645
2017-01-31,,965.48999,15.94,10.71,,4.02,0.006409999999999999
2017-02-01,,982.429993,15.69,10.71,,4.0,0.006490000000000001
2017-02-02,,1003.9699710000001,16.01,10.78,,4.03,0.0064
2017-02-03,,1013.0200199999999,16.9,10.95,,3.99,0.006379999999999999
2017-02-04,,1031.849976,16.879998999999998,11.32,,3.96,0.00644
2017-02-05,,1016.1099849999999,16.51,11.22,,3.97,0.00629
2017-02-06,,1024.670044,16.5,11.32,,3.93,0.006379999999999999
2017-02-07,,1049.560059,16.82,11.45,,3.93,0.006409999999999999
2017-02-08,,1055.48999,16.889999,11.39,,3.93,0.00635
2017-02-09,,978.9600220000001,16.049999,10.94,,3.67,0.00628
2017-02-10,,997.6099849999999,16.91,11.34,,3.76,0.0063100000000000005
2017-02-11,,1008.320007,17.059998999999998,11.43,,3.81,0.006379999999999999
2017-02-12,,996.5200199999999,16.809998999999998,11.42,,3.73,0.00627
2017-02-13,,995.3599849999999,16.719998999999998,11.39,,3.74,0.00624
2017-02-14,,1008.340027,18.040001,13.0,,3.8,0.006220000000000001
